Year,Yearly_Mean,Yearly_Std,Yearly_Change,Anomalies
1750,8.719363636363637,4.624806242088365,-0.7432207792207803,[]
1751,7.9761428571428565,4.882800614067166,-2.196309523809524,[]
1752,5.7798333333333325,2.67150603072915,2.60825,[0.348]
1753,8.388083333333332,5.276604091937878,0.08125000000000071,[]
1754,8.469333333333333,5.123817039625396,-0.11375000000000135,[]
1755,8.355583333333332,5.2808157586104905,0.49400000000000155,[]
1756,8.849583333333333,4.546845599943132,0.17241666666666688,[]
1757,9.022,6.450213045577125,-2.2784166666666668,[]
1758,6.7435833333333335,4.872132497827711,1.2414999999999994,[]
1759,7.985083333333333,4.425287626402254,-0.7999166666666655,[]
1760,7.185166666666667,4.7283073756777805,1.5873333333333317,[]
1761,8.772499999999999,6.2605674330154235,-0.16599999999999682,[]
1762,8.606500000000002,3.905195801749254,-1.1097500000000036,[]
1763,7.496749999999999,5.150920631709119,0.9035833333333354,[]
1764,8.400333333333334,3.32642619371334,-0.14841666666666953,[1.741]
1765,8.251916666666665,3.6513063748548347,0.15375000000000227,[]
1766,8.405666666666667,4.525975812524361,-0.18416666666666615,[-0.793]
1767,8.2215,4.743125876817242,-1.4401666666666673,[]
1768,6.781333333333333,4.957223875876049,0.9132500000000006,[]
1769,7.694583333333334,5.403491933591545,-0.002666666666667261,[]
1770,7.691916666666667,3.66948476079711,0.16125000000000078,[]
1771,7.8531666666666675,4.806826150266815,0.3403333333333327,[]
1772,8.1935,4.381626476929923,0.02800000000000047,[]
1773,8.2215,4.997498065699142,0.5506666666666682,[]
1774,8.772166666666669,5.796677407983148,0.41091666666666526,[]
1775,9.183083333333334,3.8382383211210613,-0.8790833333333339,[1.284]
1776,8.304,4.577929590255111,-0.047750000000000625,[]
1777,8.25625,3.415663579379562,0.2859999999999996,[]
1778,8.54225,4.372334066319728,0.4410000000000007,[]
1779,8.98325,4.380239607696517,0.4496666666666673,[]
1780,9.432916666666667,4.912477166330875,-1.3303333333333338,[]
